iter,train_loss,val_loss,gap
0,10.9034,10.9047,0.0013
500,5.3851,5.4192,0.0340
1000,4.3454,4.3961,0.0507
1500,4.0613,4.0833,0.0220
2000,3.8825,3.9468,0.0643
2500,3.8107,3.8392,0.0285
3000,3.7489,3.7873,0.0384
3500,3.6931,3.7272,0.0341
4000,3.6648,3.6944,0.0295
4500,3.6414,3.6688,0.0274
5000,3.6095,3.6425,0.0329
5500,3.5975,3.6172,0.0197
6000,3.5693,3.5881,0.0188
6500,3.5632,3.5809,0.0177
7000,3.5300,3.5627,0.0326
7500,3.5295,3.5430,0.0135
8000,3.5011,3.5451,0.0439
8500,3.4905,3.5139,0.0234
9000,3.4940,3.5286,0.0346
9500,3.4730,3.4885,0.0155
10000,3.4609,3.4847,0.0238
10500,3.4512,3.4835,0.0323
11000,3.4359,3.4661,0.0302
11500,3.4470,3.4556,0.0085
12000,3.4133,3.4553,0.0420
12500,3.4157,3.4478,0.0320
13000,3.4013,3.4347,0.0334
13500,3.3973,3.4209,0.0235
14000,3.3815,3.4098,0.0283
14500,3.3806,3.4298,0.0492
15000,3.3685,3.4210,0.0525
15500,3.3787,3.4135,0.0347
16000,3.3588,3.3968,0.0380
16500,3.3484,3.3889,0.0405
17000,3.3602,3.3840,0.0238
17500,3.3475,3.3737,0.0262
18000,3.3398,3.3902,0.0503
18500,3.3374,3.3719,0.0344
19000,3.3534,3.3677,0.0143
19500,3.3338,3.3718,0.0379
20000,3.3359,3.3579,0.0220
