iter,train_loss,val_loss,gap
0,2.7284,2.7307,0.0023
250,2.0221,2.0144,-0.0077
500,1.8529,1.8743,0.0214
750,1.7844,1.8012,0.0167
1000,1.7368,1.7610,0.0242
1250,1.6963,1.7358,0.0395
1500,1.6758,1.7137,0.0379
1750,1.6539,1.6858,0.0319
2000,1.6233,1.6728,0.0495
2250,1.6027,1.6463,0.0436
2500,1.5857,1.6471,0.0615
2750,1.5864,1.6339,0.0475
3000,1.5731,1.6197,0.0466
3250,1.5555,1.6077,0.0522
3500,1.5413,1.6071,0.0658
3750,1.5407,1.5998,0.0591
4000,1.5328,1.5888,0.0560
4250,1.5102,1.5883,0.0781
4500,1.5133,1.5701,0.0568
4750,1.5156,1.5719,0.0563
5000,1.5160,1.5874,0.0714
5250,1.5199,1.5620,0.0420
5500,1.4982,1.5687,0.0704
5750,1.5017,1.5658,0.0641
6000,1.4904,1.5640,0.0736
6250,1.4887,1.5578,0.0691
